   Compiling proc_A_dine01 v0.1.1 (C:\dev\github\Rust_engine_template_01)
src\strategic\site\mod.rs:20:62: warning: unused import: `TILE_OCCUPATION_OVERLAP_EPSILON`
src\dev\steward_witness_sync_proof.rs:7:38: warning: unused imports: `AGENT_DEBUG_INDEX_PATH` and `refresh_agent_debug_index`
src\dev\steward_s7b_preflight_proof.rs:5:18: warning: unused import: `json`
src\dev\steward_s7b_preflight_proof.rs:7:38: warning: unused imports: `wrap_debug_run` and `write_debug_run_json`
src\economy\activation\concrete_chain_e2e.rs:11:5: warning: unused imports: `AggregateMineRuntime`, `CementKilnRuntime`, and `ConcreteMixerRuntime`
src\engine\test_harness.rs:684:5: warning: variable does not need to be mutable
src\engine\test_harness.rs:685:5: warning: variable does not need to be mutable
src\render\stage5_full_app_harness.rs:342:8: warning: function `merge_p2_fire_spark_011_stage5_witness` is never used
src\render\stage5_full_app_harness.rs:595:8: warning: function `refresh_tactical_vfx_stage5_live_witness` is never used
src\render\stage5_full_app_harness.rs:600:15: warning: function `commit_p2_fire_spark_011_stage5_witness_refresh` is never used
src\dev\steward_witness_sync_proof.rs:9:7: warning: constant `BUNDLE` is never used
src\dev\steward_witness_sync_proof.rs:61:4: warning: function `repo_root` is never used
src\dev\steward_witness_sync_proof.rs:67:4: warning: function `read_json` is never used
src\dev\steward_witness_sync_proof.rs:73:4: warning: function `pointer_bool` is never used
src\dev\steward_spark_vfx_proof.rs:7:7: warning: constant `STAGE5` is never used
src\dev\steward_spark_vfx_proof.rs:9:4: warning: function `repo_root` is never used
src\dev\steward_spark_vfx_proof.rs:15:4: warning: function `read_json` is never used
src\dev\steward_spark_vfx_proof.rs:21:4: warning: function `pointer_bool` is never used
src\dev\steward_spark_vfx_proof.rs:27:4: warning: function `pointer_u64_positive` is never used
src\dev\steward_s7b_preflight_proof.rs:9:7: warning: constant `BEHAVIORAL_LIVE` is never used
src\dev\steward_s7b_preflight_proof.rs:11:7: warning: constant `PREREQ_BUNDLE` is never used
src\dev\steward_s7b_preflight_proof.rs:34:4: warning: function `repo_root` is never used
src\dev\steward_s7b_preflight_proof.rs:40:4: warning: function `read_json` is never used
src\dev\steward_s7b_preflight_proof.rs:46:4: warning: function `pointer_bool` is never used
src\dev\steward_ui_oh_gate_proof.rs:7:7: warning: constant `UI_SHELL` is never used
src\dev\steward_ui_oh_gate_proof.rs:8:7: warning: constant `STAGE5` is never used
src\dev\steward_ui_oh_gate_proof.rs:10:7: warning: constant `SHELL_GATES` is never used
src\dev\steward_ui_oh_gate_proof.rs:26:7: warning: constant `STAGE5_GATES` is never used
src\dev\steward_ui_oh_gate_proof.rs:31:4: warning: function `repo_root` is never used
src\dev\steward_ui_oh_gate_proof.rs:37:4: warning: function `read_json` is never used
src\dev\steward_ui_oh_gate_proof.rs:43:4: warning: function `pointer_bool` is never used
src\dev\steward_ui_oh_gate_proof.rs:49:4: warning: function `pointer_u64` is never used
src\dev\steward_w3_gate_proof.rs:9:7: warning: constant `UI_SHELL` is never used
src\dev\steward_w3_gate_proof.rs:10:7: warning: constant `STAGE5` is never used
src\dev\steward_w3_gate_proof.rs:11:7: warning: constant `MINIMAP` is never used
src\dev\steward_w3_gate_proof.rs:14:7: warning: constant `SHELL_SPEC` is never used
src\dev\steward_w3_gate_proof.rs:27:7: warning: constant `STAGE5_GATES` is never used
src\dev\steward_w3_gate_proof.rs:29:7: warning: constant `MINIMAP_M2` is never used
src\dev\steward_w3_gate_proof.rs:31:4: warning: function `repo_root` is never used
src\dev\steward_w3_gate_proof.rs:37:4: warning: function `read_json` is never used
src\dev\steward_w3_gate_proof.rs:43:4: warning: function `pointer_bool` is never used
src\dev\coder_a_ui_five_lane_proof.rs:9:7: warning: constant `UI_SHELL` is never used
src\dev\coder_a_ui_five_lane_proof.rs:10:7: warning: constant `MINIMAP` is never used
src\dev\coder_a_ui_five_lane_proof.rs:12:7: warning: constant `FIVE_LANE_SHELL` is never used
src\dev\coder_a_ui_five_lane_proof.rs:22:7: warning: constant `FIVE_LANE_MINIMAP` is never used
src\dev\coder_a_ui_five_lane_proof.rs:31:7: warning: constant `FIVE_LANE_SHELL_P4` is never used
src\dev\coder_a_ui_five_lane_proof.rs:36:4: warning: function `repo_root` is never used
src\dev\coder_a_ui_five_lane_proof.rs:42:4: warning: function `read_json` is never used
src\dev\coder_a_ui_five_lane_proof.rs:48:4: warning: function `pointer_bool` is never used
src\dev\coder_a_ui_five_lane_proof.rs:54:4: warning: function `pointer_u64` is never used
src\dev\coder_a_ui_w3_p4_m3_proof.rs:7:7: warning: constant `UI_SHELL` is never used
src\dev\coder_a_ui_w3_p4_m3_proof.rs:8:7: warning: constant `MINIMAP` is never used
src\dev\coder_a_ui_w3_p4_m3_proof.rs:9:7: warning: constant `STAGE7` is never used
src\dev\coder_a_ui_w3_p4_m3_proof.rs:11:4: warning: function `repo_root` is never used
src\dev\coder_a_ui_w3_p4_m3_proof.rs:17:4: warning: function `read_json` is never used
